Pagina,Patron_Censura,Texto_Detectado,Contexto_60chars,Personas_en_Pagina
1194,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 64 of 64Page 53 of 69 Jane Doe 2 Jane Doe 2 Jane Doe 2 and or any new info. When i was doi,
1194,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 64 of 64Page 53 of 69 Jane Doe 2 Jane Doe 2 Jane Doe 2 and or any new info. When i was doing some res,
1194,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 64 of 64Page 53 of 69 Jane Doe 2 Jane Doe 2 Jane Doe 2 and or any new info. When i was doing some research into,
1195,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 54 of 69 Jane Doe 2 Jane Doe 2 Jane Doe 2 To: Sharon ChurcherSharon.Churcher@,Virginia Giuffre
1195,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 54 of 69 Jane Doe 2 Jane Doe 2 Jane Doe 2 To: Sharon ChurcherSharon.Churcher@mailonsunda,Virginia Giuffre
1195,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 54 of 69 Jane Doe 2 Jane Doe 2 Jane Doe 2 To: Sharon ChurcherSharon.Churcher@mailonsunday.co.uk Fro,Virginia Giuffre
1196,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 55 of 69 Jane Doe 2 Jane Doe 2 interviews with us were accurately rcpo11cd an,
1196,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 55 of 69 Jane Doe 2 Jane Doe 2 interviews with us were accurately rcpo11cd and you have,
1197,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 56 of 69 Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 To: Sharon ChurcherSharo,Virginia Giuffre
1197,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 56 of 69 Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 To: Sharon ChurcherSharon.Churcher@,Virginia Giuffre
1197,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 56 of 69 Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 To: Sharon ChurcherSharon.Churcher@mailonsunda,Virginia Giuffre
1197,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 56 of 69 Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 To: Sharon ChurcherSharon.Churcher@mailonsunday.co.uk Fro,Virginia Giuffre
1198,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 57 of 69 Jane Doe 2 Jane Doe 2 Jane Doe 2 and or any new info. When i was doi,
1198,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 57 of 69 Jane Doe 2 Jane Doe 2 Jane Doe 2 and or any new info. When i was doing some res,
1198,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 57 of 69 Jane Doe 2 Jane Doe 2 Jane Doe 2 and or any new info. When i was doing some research into,
1200,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 59 of 69 Jane Doe 2 Jane Doe 2 ... To: Sharon ChurcherSharon.Churcher@mailons,Virginia Giuffre
1200,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 59 of 69 Jane Doe 2 Jane Doe 2 ... To: Sharon ChurcherSharon.Churcher@mailonsunday.co.uk,Virginia Giuffre
1201,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 60 of 69 Jane Doe 2 Jane Doe 2 To: Sharon ChurcherSharon.Churcher@mailonsunda,Virginia Giuffre
1201,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 60 of 69 Jane Doe 2 Jane Doe 2 To: Sharon ChurcherSharon.Churcher@mailonsunday.co.uk Fro,Virginia Giuffre
1202,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"Page 61 of 69 Jane Doe 2 Jane Doe 2 Jane Doe 2 - lltll-UIILllll..t:, lIUltlldl Sub",
1202,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"Page 61 of 69 Jane Doe 2 Jane Doe 2 Jane Doe 2 - lltll-UIILllll..t:, lIUltlldl Subject: Re :",
1202,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"Page 61 of 69 Jane Doe 2 Jane Doe 2 Jane Doe 2 - lltll-UIILllll..t:, lIUltlldl Subject: Re : Received: S",
1204,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 63 of 69 Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 llllfJVlldlll.t:; Subjec,Virginia Giuffre
1204,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 63 of 69 Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 llllfJVlldlll.t:; Subject: Re : Rec,Virginia Giuffre
1204,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 63 of 69 Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 llllfJVlldlll.t:; Subject: Re : Received: Shaz,Virginia Giuffre
1204,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"Page 63 of 69 Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 llllfJVlldlll.t:; Subject: Re : Received: Shazza, llfUlll",Virginia Giuffre
1205,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"Page 64 of 69 Jane Doe 2 Xoxoxo and many thanks, Jenna Fro To: 11 I I I I I. I I I",
1207,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 66 of 69 Jane Doe 2 To: Sharon ChurcherSharon. Churcher@mailonsunday.co.uk Fr,Virginia Giuffre
1208,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Page 67 of 69 Jane Doe 2To: jarred lit agenV producer From: Virginia Giuffre Sent:,Jeffrey Epstein; Virginia Giuffre; Prince Andrew
1209,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"Page 68 of 69 Jan Jane Doe 2Jane Doe 2 To: Sharon ChurcherSharon,Churcher@mailonsunday",Virginia Giuffre; Bill Clinton
1212,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"S MOTION PURSUANT TO RULE 21 FOR JOINDER IN ACTION COME NOW Jane Doe #3 and Jane Doe #4 also re ferred to as the new victims, by",
1212,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"T TO RULE 21 FOR JOINDER IN ACTION COME NOW Jane Doe #3 and Jane Doe #4 also re ferred to as the new victims, by and through und",
1212,\b[jJ]ane\s+[dD]oe\b,Jane Doe,n that they not re-litigate any issues already litigated by Jane Doe #1 and Jane Doe #2 also re ferred to as the current vi ctim,
1212,\b[jJ]ane\s+[dD]oe\b,Jane Doe,re-litigate any issues already litigated by Jane Doe #1 and Jane Doe #2 also re ferred to as the current vi ctims. The new victi,
1212,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"grant the motion. 1 1 As minor victims of sexual offenses, Jane Doe #3 and Jane Doe #4 desire to proceed by way of pseudonym fo",
1212,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"n. 1 1 As minor victims of sexual offenses, Jane Doe #3 and Jane Doe #4 desire to proceed by way of pseudonym for the same reaso",
1212,\b[jJ]ane\s+[dD]oe\b,Jane Doe,re to proceed by way of pseudonym for the same reasons that Jane Doe #1 and Jane Doe #2 proceeded in this Case 9:08-cv-80736-KAM,
1212,\b[jJ]ane\s+[dD]oe\b,Jane Doe,way of pseudonym for the same reasons that Jane Doe #1 and Jane Doe #2 proceeded in this Case 9:08-cv-80736-KAM Document 279 En,
1213,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"BACKGROUND As the Court is aware, more than six years ago, Jane Doe #1 filed the present action against the Government, allegin",Jeffrey Epstein
1213,\b[jJ]ane\s+[dD]oe\b,Jane Doe,". At the first court hearing on the case, the Court allowed Jane Doe #2 to also join the action. Both Jane Doe #1 and Jane Doe #",Jeffrey Epstein
1213,\b[jJ]ane\s+[dD]oe\b,Jane Doe,the Court allowed Jane Doe #2 to also join the action. Both Jane Doe #1 and Jane Doe #2 specifically argued that the government,Jeffrey Epstein
1213,\b[jJ]ane\s+[dD]oe\b,Jane Doe,d Jane Doe #2 to also join the action. Both Jane Doe #1 and Jane Doe #2 specifically argued that the government had failed to pr,Jeffrey Epstein
1213,\b[jJ]ane\s+[dD]oe\b,Jane Doe,the Government argued that the CVRA rights did not apply to Jane Doe #1 and Jane Doe #2 because no federal charges had ever been,Jeffrey Epstein
1213,\b[jJ]ane\s+[dD]oe\b,Jane Doe,rgued that the CVRA rights did not apply to Jane Doe #1 and Jane Doe #2 because no federal charges had ever been filed against J,Jeffrey Epstein
1213,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"uling, the Court concluded that the CVRA extended rights to Jane Doe #1 and Jane Doe #2 even though federal charges were never f",Jeffrey Epstein
1213,\b[jJ]ane\s+[dD]oe\b,Jane Doe,concluded that the CVRA extended rights to Jane Doe #1 and Jane Doe #2 even though federal charges were never filed. DE 189. Th,Jeffrey Epstein
1214,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"3 Jane Doe #3s Circumstances As with Jane Doe #1 and Jane Doe #2, Jane",Ghislaine Maxwell
1214,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"3 Jane Doe #3s Circumstances As with Jane Doe #1 and Jane Doe #2, Jane Doe #3 was repeatedly sexually abu",Ghislaine Maxwell
1214,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"3 Jane Doe #3s Circumstances As with Jane Doe #1 and Jane Doe #2, Jane Doe #3 was repeatedly sexually abused by Epstein.",Ghislaine Maxwell
1214,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"Doe #3s Circumstances As with Jane Doe #1 and Jane Doe #2, Jane Doe #3 was repeatedly sexually abused by Epstein. The Governmen",Ghislaine Maxwell
1214,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"ually abused by Epstein. The Government then concealed from Jane Doe #3 the existence of its NPA from Jane Doe #3, in violation",Ghislaine Maxwell
1214,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"en concealed from Jane Doe #3 the existence of its NPA from Jane Doe #3, in violation of her rights under the CVRA. If allowed t",Ghislaine Maxwell
1214,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"her rights under the CVRA. If allowed to join this action, Jane Doe #3 would prove the following: In 1999, Jane Doe #3 was appr",Ghislaine Maxwell
1214,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"his action, Jane Doe #3 would prove the following: In 1999, Jane Doe #3 was approached by Ghislaine Maxwell, one of the main wom",Ghislaine Maxwell
1214,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"ipated in Epsteins sexual exploitation of minors, including Jane Doe #3. Maxwell persuaded Jane Doe #3 who was then fifteen year",Ghislaine Maxwell
1214,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"itation of minors, including Jane Doe #3. Maxwell persuaded Jane Doe #3 who was then fifteen years old to come to Epsteins mansi",Ghislaine Maxwell
1214,\b[jJ]ane\s+[dD]oe\b,Jane Doe,co-conspirators coerced dozens of other children including Jane Doe #1 and Jane Doe #2. When Jane Doe #3 began giving Epstein a,Ghislaine Maxwell
1214,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"coerced dozens of other children including Jane Doe #1 and Jane Doe #2. When Jane Doe #3 began giving Epstein a massage, Epstei",Ghislaine Maxwell
1214,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"other children including Jane Doe #1 and Jane Doe #2. When Jane Doe #3 began giving Epstein a massage, Epstein and Maxwell turn",Ghislaine Maxwell
1214,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"with many other victims. Epstein the n became enamored with Jane Doe #3, and with the assistance of Maxwell converted her into w",Ghislaine Maxwell
1214,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"o what is commonly referred to as a sex slave. Epstein kept Jane Doe #3 as his sex slave from about 1999 through 2002, when she",Ghislaine Maxwell
1214,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"From 1999 through 2002, Epstein frequently sexually abused Jane Doe #3, not only in West Palm Beach, but also in New York, New",Ghislaine Maxwell
1214,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"elsewhere. Epstein also sexually trafficked the then-minor Jane Doe, making her available for sex to politically-connected and",Ghislaine Maxwell
1214,\b[jJ]ane\s+[dD]oe\b,Jane Doe,d financially-powerful people. Epsteins purposes in lending Jane Doe Case 9:08-cv-80736-KAM Document 279 Entered on FLSD Docket,Ghislaine Maxwell
1215,\b[jJ]ane\s+[dD]oe\b,Jane Doe,One such powerful individual that Epstein forced then-minor Jane Doe #3 to have sexual relations with was former Harvard Law Pro,Ghislaine Maxwell; Alan Dershowitz
1215,\b[jJ]ane\s+[dD]oe\b,Jane Doe,and well-known criminal defense attorney. Epstein required Jane Doe #3 to have sexual relations with Dershowitz on numerous occ,Ghislaine Maxwell; Alan Dershowitz
1215,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"Islands. In addition to being a participant in the abuse of Jane Doe #3 and other minors, Deshowitz was an eye-witness to the se",Ghislaine Maxwell; Alan Dershowitz
1215,\b[jJ]ane\s+[dD]oe\b,Jane Doe,ai nst criminal prosecution in Florida for sexually abusing Jane Doe #3. Because this broad immunity would have been controversi,Ghislaine Maxwell; Alan Dershowitz
1216,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"5 sexual abuse of Jane Doe #3 and others, Maxwell also took numerous sexually explicit",Prince Andrew
1216,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"of underage girls involved in sexual activities, including Jane Doe #3. She shared these photographs which constituted child po",Prince Andrew
1216,\b[jJ]ane\s+[dD]oe\b,Jane Doe,". For instance, one such powerful individual Epstein forced Jane Doe #3 to have sexual relations with was a member of the Britis",Prince Andrew
1216,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"the British Ro yal Family, Prince Andrew aka Duke of York. Jane Doe #3 was forced to have sexual relations with this Prince whe",Prince Andrew
1216,\b[jJ]ane\s+[dD]oe\b,Jane Doe,gy with numerous other under-aged girls. Epstein instructed Jane Doe #3 that she was to give the Prince whatever he demanded and,Prince Andrew
1216,\b[jJ]ane\s+[dD]oe\b,Jane Doe,he was to give the Prince whatever he demanded and required Jane Doe #3 to report back to him on the details of the sexual abuse,Prince Andrew
1216,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"r Epstein, thereby assisting in internationally trafficking Jane Doe #3 and numerous other young girls for sexual purposes. Anot",Prince Andrew
1216,\b[jJ]ane\s+[dD]oe\b,Jane Doe,ive effort is Jean Luc Brunel. Epst ein sexually trafficked Jane Doe #3 to Jean Luc Brunel many times. Brunel was another of Ep,Prince Andrew
1217,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"them in with a promise of making good money. Epstein forced Jane Doe #3 to observe him, Brunel and Maxwell engage in illegal sex",
1217,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"ual acts with dozens of underage girls. Epstein also forced Jane Doe #3 to have sex with Brunel on numerous occasions, at places",
1217,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"he south of France, and California. Epstein also trafficked Jane Doe #3 for sexual purposes to many other powerful men, includin",
1217,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"n Prime Minister, and other world leaders. Epstein required Jane Doe #3 to describe the events that she had with these men so th",
1217,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"t to the NPA. Moreover, even a rudimentary investigation of Jane Doe #3s relationship to Epstein would have revealed the fact th",
1217,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"rict of Florida of Epstein and his co-conspirators. As with Jane Doe #1, and Jane Doe #2, the Government concealed the non-prose",
1217,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"f Epstein and his co-conspirators. As with Jane Doe #1, and Jane Doe #2, the Government concealed the non-prosecution agreement",
1217,\b[jJ]ane\s+[dD]oe\b,Jane Doe,the Government concealed the non-prosecution agreement from Jane Doe #3 all in violation of her rights under the CVRA to avoid J,
1217,\b[jJ]ane\s+[dD]oe\b,Jane Doe,e #3 all in violation of her rights under the CVRA to avoid Jane Doe #3 from raising powerful objections to the NPA that would h,
1218,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"om being concluded in the secretive manner in which it was. Jane Doe #4s Circumstances If permitted to join this action, Jane Do",Jeffrey Epstein
1218,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"ane Doe #4s Circumstances If permitted to join this action, Jane Doe #4 would allege, and could prove at trial, that she has CVR",Jeffrey Epstein
1218,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"rial, that she has CVRA claims similar to those advanced by Jane Doe #1 and Jane Doe #2, based on the following: As with the oth",Jeffrey Epstein
1218,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"as CVRA claims similar to those advanced by Jane Doe #1 and Jane Doe #2, based on the following: As with the other Jane Does, Ja",Jeffrey Epstein
1218,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"oe #2, based on the following: As with the other Jane Does, Jane Doe #4 was repeatedly sexually abused by Epstein. In or around",Jeffrey Epstein
1218,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"exually abused by Epstein. In or around the summer of 2002, Jane Doe #4, an economically poor and vulnerable sixteen-yearold chi",Jeffrey Epstein
1218,\b[jJ]ane\s+[dD]oe\b,Jane Doe,ving an old man a massage on Palm Beach. An acquaintance of Jane Doe #4 also a minor sexual abuse victim of Epstein telephoned E,Jeffrey Epstein
1218,\b[jJ]ane\s+[dD]oe\b,Jane Doe,al abuse victim of Epstein telephoned Epstein and scheduled Jane Doe #4 to go to Epsteins house to give him a massage. During th,Jeffrey Epstein
1218,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"f got on the phone a means of interstate communication with Jane Doe #4, asking her personally to come to his mansion in Palm Be",Jeffrey Epstein
1218,\b[jJ]ane\s+[dD]oe\b,Jane Doe,asking her personally to come to his mansion in Palm Beach. Jane Doe #4 then went to Epsteins mansion and was escorted upstairs,Jeffrey Epstein
1218,\b[jJ]ane\s+[dD]oe\b,Jane Doe,rey Epstein emerged and lay face down on the table and told Jane Doe #4 to start massaging him. Epstein asked Jane Doe #3 her ag,Jeffrey Epstein
1218,\b[jJ]ane\s+[dD]oe\b,Jane Doe,and told Jane Doe #4 to start massaging him. Epstein asked Jane Doe #3 her age and she told him she had recently turned sixteen,Jeffrey Epstein
1218,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Epstein subsequently committed illegal sexual acts against Jane Doe #4 on many occasions. Epstein used a means of interstate co,Jeffrey Epstein
1218,\b[jJ]ane\s+[dD]oe\b,Jane Doe,his personal jet for purposes of illegally sexually abusing Jane Doe #4. Case 9:08-cv-80736-KAM Document 279 Entered on FLSD Doc,Jeffrey Epstein
1219,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"Because the Government is apparently opposing this motion, Jane Doe #3 and Jane Doe #4 have described the circumstances surroun",
1219,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"ernment is apparently opposing this motion, Jane Doe #3 and Jane Doe #4 have described the circumstances surrounding their cla i",
1219,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"s appropriate information to rule on the motion. CONCLUSION Jane Doe #3 and Jane Doe #4 should be allowed to join this action, p",
1219,\b[jJ]ane\s+[dD]oe\b,Jane Doe,"formation to rule on the motion. CONCLUSION Jane Doe #3 and Jane Doe #4 should be allowed to join this action, pursuant to Rule",
1219,\b[jJ]ane\s+[dD]oe\b,Jane Doe,hat they not re-litigate any issues previously litigated by Jane Doe #1 and Jane Doe #2. A proposed order to that effect is atta,
1219,\b[jJ]ane\s+[dD]oe\b,Jane Doe,litigate any issues previously litigated by Jane Doe #1 and Jane Doe #2. A proposed order to that effect is attached to this ple,
1220,\b[jJ]ane\s+[dD]oe\b,Jane Doe,e: 801-585-6833 E-Mail: cassellp@law.utah.edu Attorneys for Jane Doe #1 and Jane Doe #2 CERTIFICATE OF SERVICE I certify that th,
1220,\b[jJ]ane\s+[dD]oe\b,Jane Doe,E-Mail: cassellp@law.utah.edu Attorneys for Jane Doe #1 and Jane Doe #2 CERTIFICATE OF SERVICE I certify that the foregoing docu,
1229,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1325-5 Filed 0,
1229,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1325-5 Filed 010424 Page,
1231,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Case 1:15-cv-07433-LAP Document 1325-5 Filed 010424 Page,
1232,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP D,
1232,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 132,
1232,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1325-5 Filed 0,
1232,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1325-5 Filed 010424 Page,
1234,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 Case 1:15-cv-,
1234,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP D,
1234,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 132,
1234,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1325-5 Filed 0,
1234,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1325-5 Filed 010424 Page,
1235,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 132,
1235,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1325-5 Filed 0,
1235,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1325-5 Filed 010424 Page,
1237,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Case 1:15-cv-07433-LAP Document 1325-5 Filed 010424 Page,
1238,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1325-5 Filed 0,
1238,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1325-5 Filed 010424 Page,
1239,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1325-5 Filed 0,
1239,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1325-5 Filed 010424 Page,
1241,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 132,
1241,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1325-5 Filed 0,
1241,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1325-5 Filed 010424 Page,
1242,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 132,
1242,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1325-5 Filed 0,
1242,\b[jJ]ane\s+[dD]oe\b,Jane Doe,Jane Doe 2 Jane Doe 2 Jane Doe 2 Case 1:15-cv-07433-LAP Document 1325-5 Filed 010424 Page,
1293,\b[jJ]ane\s+[dD]oe\b,Jane Doe,g the session 25 A. At one point he lifted up her shirt and Jane Doe 2 Jane Doe 2 Jane Doe 2 MAGNA9 LEGAL SERVICES Case 1:15-cv-,
1293,\b[jJ]ane\s+[dD]oe\b,Jane Doe,on 25 A. At one point he lifted up her shirt and Jane Doe 2 Jane Doe 2 Jane Doe 2 MAGNA9 LEGAL SERVICES Case 1:15-cv-07433-LAP D,
1293,\b[jJ]ane\s+[dD]oe\b,Jane Doe,one point he lifted up her shirt and Jane Doe 2 Jane Doe 2 Jane Doe 2 MAGNA9 LEGAL SERVICES Case 1:15-cv-07433-LAP Document 132,
1309,\b[jJ]ane\s+[dD]oe\b,Jane Doe,1:15-cv-07433-RWS Document 173-8 Filed 052716 Page 10 of 45 Jane Doe 2 ---------------------------------------------------------,Jeffrey Epstein; Johanna Sjoberg
1320,\b[jJ]ane\s+[dD]oe\b,Jane Doe,1:15-cv-07433-RWS Document 173-8 Filed 052716 Page 21 of 45 Jane Doe 2 ---------------------------------------------------------,
1321,\b[jJ]ane\s+[dD]oe\b,Jane Doe,1:15-cv-07433-RWS Document 173-8 Filed 052716 Page 22 of 45 Jane Doe 2 Jane Doe 2 ----------------------------------------------,
1321,\b[jJ]ane\s+[dD]oe\b,Jane Doe,33-RWS Document 173-8 Filed 052716 Page 22 of 45 Jane Doe 2 Jane Doe 2 ---------------------------------------------------------,
1322,\b[jJ]ane\s+[dD]oe\b,Jane Doe,1:15-cv-07433-RWS Document 173-8 Filed 052716 Page 23 of 45 Jane Doe 2 ---------------------------------------------------------,Jeffrey Epstein
1323,\b[jJ]ane\s+[dD]oe\b,Jane Doe,1:15-cv-07433-RWS Document 173-8 Filed 052716 Page 24 of 45 Jane Doe 2 ---------------------------------------------------------,Alan Dershowitz
1329,\b[jJ]ane\s+[dD]oe\b,Jane Doe,1:15-cv-07433-RWS Document 173-8 Filed 052716 Page 30 of 45 Jane Doe 2 ---------------------------------------------------------,Johanna Sjoberg
1331,\b[jJ]ane\s+[dD]oe\b,Jane Doe,1:15-cv-07433-RWS Document 173-8 Filed 052716 Page 32 of 45 Jane Doe 2 Jane Doe 2 ------------ ---------------------------------,Johanna Sjoberg
1331,\b[jJ]ane\s+[dD]oe\b,Jane Doe,33-RWS Document 173-8 Filed 052716 Page 32 of 45 Jane Doe 2 Jane Doe 2 ------------ --------------------------------------------,Johanna Sjoberg
1334,\b[jJ]ane\s+[dD]oe\b,Jane Doe,1:15-cv-07433-RWS Document 173-8 Filed 052716 Page 35 of 45 Jane Doe 2 ---------------------------------------------------------,Jeffrey Epstein; Ghislaine Maxwell
1335,\b[jJ]ane\s+[dD]oe\b,Jane Doe,1:15-cv-07433-RWS Document 173-8 Filed 052716 Page 36 of 45 Jane Doe 2 ---------------------------------------------------------,
1342,"X{3,}",XXXX,Time Seconds InOut ToFrom 7-Mar-06 11:03 AM 492 Outbound 561XXXX 7-Mar-06 11: 16 AM 6 Inbound 561XXXX 7-Mar-06 11:22 AM 887.,
